"","par1","par2","sse","pse","slope"
"pse...1",-1.00158169632778,0.670381907373667,4.22665313057685,-0.564755723773299,0.525010134967472
"pse...2",-10.1154731540009,0.792240034788847,4.22665324343042,-0.564698083116445,0.525135902977303
"pse...3",-14.088248074986,0.241769740357995,4.22665344428347,-0.565175183312473,0.525091969417851
"pse...4",-2.21503028646111,1.23571576131508,4.22665311142407,-0.564818772961488,0.525039313569709
"pse...5",-7.10375221911818,0.952647742349654,4.22665334463939,-0.565124590392614,0.524941051371783
"pse...6",10.8695699600503,0.297757264226675,4.2266531864882,-0.564997441363756,0.525074698584836
"pse...7",-9.58709761267528,1.99854662409052,4.22665315213916,-0.564977507634496,0.525019645269673
"pse...8",10.252235471271,0.285298119764775,4.22665314255269,-0.564736367335736,0.525001344589407
"pse...9",-4.65454840566963,1.77925090771168,4.2266531397784,-0.56478834703668,0.525082700856377
"pse...10",-5.40455113397911,1.41803166735917,4.22665320121738,-0.565001482690192,0.52492268924884
"pse...11",3.8445515697822,0.87634513201192,4.22665324372341,-0.564910555157104,0.525182929161548
"pse...12",-4.80311915511265,1.86618517432362,4.22665324639185,-0.565022290836196,0.525122831050748
"pse...13",6.38863236643374,1.26170374592766,4.22665316461118,-0.564990013246758,0.52503538055681
"pse...14",7.39348310278729,0.22290057502687,4.22665315399532,-0.564948455710506,0.524934927659974
"pse...15",-6.80134454509243,0.197036178316921,4.22665334352552,-0.564571228071805,0.524958539276897
"pse...16",7.7258844813332,1.32718420773745,4.22665314508638,-0.564732677814477,0.52501044879024
"pse...17",6.73083281842992,0.917893062811345,4.2266532339727,-0.564648964902394,0.525054098162686
"pse...18",5.23195741698146,1.40102722961456,4.22665320201399,-0.564957597388032,0.524883145603952
"pse...19",9.45216655964032,1.38236297573894,4.22665317378189,-0.564697142326827,0.524997391046434
"pse...20",6.49237031349912,1.7811597827822,4.22665316319508,-0.564770327550892,0.525104304131546
"pse...21",-4.79109353385866,1.33712569065392,4.22665315960584,-0.564925277185195,0.525103986027061
"pse...22",-3.47238088957965,0.470226733479649,4.22665312326467,-0.56479966269151,0.524953330212227
"pse...23",11.6549108549953,1.60290331766009,4.22665315616918,-0.564931689634119,0.52509577647495
"pse...24",2.89283210411668,1.95403548283502,4.22665315127691,-0.564958844774158,0.524951993134205
"pse...25",-5.15685097547248,1.61036005662754,4.22665326861889,-0.565033949445467,0.524882577045099
"pse...26",-14.030538580846,0.896579755470157,4.22665326066068,-0.564834849160857,0.524813150397358
"pse...27",-7.0580484601669,0.818535035476089,4.2266534517468,-0.564663206706422,0.524763646807259
"pse...28",-9.16209599236026,1.08697502827272,4.22665335435945,-0.565086304792496,0.525151826248048
"pse...29",13.0531110288575,1.54807522054762,4.22665312738095,-0.56489496893802,0.525071897761449
"pse...30",14.9064975022338,1.6452516829595,4.22665320169098,-0.564893714814023,0.524858144628605
"pse...31",-3.24883968103677,0.770498960278928,4.22665314740044,-0.564824229234507,0.524906768198558
"pse...32",11.9741340028122,0.637706046923995,4.22665313947348,-0.564947434796531,0.524963796872387
"pse...33",-8.73934552771971,1.12835434125736,4.22665311773217,-0.564784661332021,0.525021488803343
"pse...34",-0.537466944660991,0.13022926542908,4.22665312795214,-0.564937805757329,0.525026493754582
