sid,oc,vv,frame_size,perc
30201cc,1.1996425733685079,-1.3401758715772427,880,1.4732674475
30201ms,1.9370413174728491,1.9300931142888609,880,2.735835044
30202is,-0.8763234971823257,1.8904411818908489,880,2.5772298295
30205gr,-0.07061360799297467,1.6174237499587307,880,0.7470762295000001
30205jp,0.8716971594922526,0.11320923465071164,880,0.28457484099999997
30205sb,0.29842148607785157,0.45379828892875507,880,0.7733818305
30208lj,0.9570728936882199,1.9057971212491476,880,1.2983711375
30217af,-0.7501627149296408,0.5976662801375495,880,1.214582464
30301av,0.8178987834765963,1.0737636230652479,880,2.7712747149999997
30301sb,-0.6447376764794797,0.13010639823362835,880,3.2970865215000003
30302sw,1.8109528711685805,5.080300416438665,880,2.281639235
30303nm,-2.332334005772003,0.9472886097946973,880,2.61373319
30303vm,2.4967527508509377,3.886826595207577,880,0.9951410009999999
30308dh,0.34841606297858796,0.8513658856020951,880,0.6516822830000004
30310kl,0.04654390020902799,0.9478527940831194,880,1.3412247650000002
30313jp,0.22811608899266433,1.5846184433381598,880,1.1247894120000002
30314am,1.7438362643156435,0.9673674401499794,880,1.717923672
30317em,-0.053939619882519274,1.8655761895389005,880,1.141448671
30404jm,0.2998001680801954,2.381832571457202,880,0.7730827315
30406db,2.1746059078623743,2.122094925200535,880,3.0344196070000002
30410mc,1.285908161962523,0.23466667244583866,880,0.42492144099999996
30411ao,1.91189688062722,-0.3094046376019775,880,1.3096090679999999
30414sh,0.49181369511190165,-0.22002966114887546,880,1.8984259165000001
30417mg,-0.47013216959710435,0.9476282917299828,880,1.8678010019999998
30418sf,0.8933183657821715,0.7393307078324138,880,0.9421670299999999
30420im,0.3112208246859947,1.4780358046165472,880,2.744846309
30421sg,1.0119366096630782,0.5772079390661173,880,1.45836852
30425mk,0.5959282389621494,0.4032988614702391,880,0.918022398
30428jl,-0.553880341727016,-2.1026115907077934,880,0.5644258515
30501rb,0.3432218878872386,0.6204203991194042,880,1.068642495
30502ah,2.736618245495744,8.969263638847774,880,5.799504531999999
30502mm,1.1348724749292347,-1.272010316806822,880,1.1482922924999999
30504lp,0.8138944359446221,1.1274076155817163,880,1.0600127865
30505pp,-1.3968468609415026,0.6690668637821515,880,0.016432187499999973
30508ab,1.0681092580252907,-0.576712829075595,880,0.25056253250000005
30509aa,1.9462987095295334,1.1694172457569516,880,3.0181205484999998
30511ki,1.2011056609879298,0.9476747689711467,880,2.1491998965
30516dl,1.8054419096201921,-0.45325150839183054,880,1.0205445174999999
30516gm,0.5526134794226718,-0.05094095730204895,880,1.2867176205000002
30530iw,0.5386793372246967,2.3164546147125247,880,2.1745941495
30530tl,2.6581514824904247,2.273223455788359,880,3.1858507665
30602kh,2.2080824581487946,0.9019091298794158,880,0.6206961995
30606tw,0.6830582179552863,0.19840196722231807,880,0.15729627499999999
30608at,-0.496740623044294,2.782929444638823,880,2.3047570795
30613kb,0.19468618326673384,-0.05267522817866421,880,1.664689997
30613th,0.8725736353454494,1.0396141417605373,880,1.0330360225
30907tg,0.9182833531751857,2.1495607666310406,880,1.4035771925
30912cg,0.04394629114132442,3.2240793547074964,880,1.7881521205000002
30912kf,2.6850934451443296,0.7039430338508237,880,1.758542284
30913my,0.5553556406072176,0.22780952866393478,880,1.3052850440000001
30914ms,-0.027444379007778075,1.3518735256398533,880,0.8949280774999999
30915vb,0.7218140670400259,0.1637164338568109,880,3.303085423
31006st,4.761147322910104,-0.38137014978781103,880,3.127633939
31013kt,0.12784920412318135,-0.540639602826928,880,0.20885040249999975
31016cm,1.8461212433551184,0.03230851199227039,880,1.634720335
31020md,0.36890698751943685,0.33189780621515297,880,2.201218744
31031dm,1.236193548994169,0.29418228858684176,880,2.148685396
31031ki,1.0227829791809837,1.2199556850047293,880,1.391331528
31101ch,0.1553734042406283,0.9797740949455711,880,0.5887266645
31103is,0.26875977354532743,2.58523555977842,880,2.992458734
31103tg,0.3452473973854364,0.076450658695289,880,0.9296311469999998
31106mh,-2.574368336223192,-0.5101909923990233,880,0.6662685535
31107sl,1.525367229967359,3.4301489139940067,880,2.920550926
31108be,1.2621672790050167,2.476819944364369,880,0.7834748284999999
31113kk,-0.27486940124124626,0.8110584101573213,880,2.138724332
31114kp,-0.41877013968398286,-1.2177386937330275,880,-0.502632051
31114mc,-0.042673322399229385,1.5450419086438503,880,1.7147925865
31115sr,1.1420964165615932,0.6334952831686467,880,1.4185363245
31116cm,0.3319642497669024,0.4129256549876179,880,0.6547238814999999
31121cd,0.3077906646233478,-0.03526072722856277,880,1.6615011095
31121dc,1.9374335025854408,2.1234002961315097,880,1.5537691550000001
31121mm,1.022636979374142,2.6110083050559156,880,2.53952529
31122cc,-0.04983875263398119,1.326334993399759,880,1.2172873329999998
31122is,0.8808393714740981,0.5312966522211757,880,1.8647368335000003
31122md,1.191259045141157,-0.24645621604096912,880,1.176702772
31122ns,3.311527365459802,1.0249191550670989,880,1.292332046
31127cj,2.051829086526549,2.3504102821679713,880,1.228094155
31127ks,0.1992440120970791,0.9796301577396747,880,1.4823340415000001
31127nf,0.8791995193460291,0.1984953684443318,880,0.9186189165
40216ss,0.13748998045447758,0.8624707675859273,880,0.4852972740000001
