"","sid","frame_size","magnitude","task"
"542","31020md","Medium",0.16347738373007,"combined_saccade"
"543","31020md","Large",1.95369195844954,"combined_saccade"
"544","31020md","Extra Large",0.70080479373459,"combined_saccade"
"545","31031dm","Small",3.02534443186487,"combined_saccade"
"546","31031dm","Medium",2.01365535269648,"combined_saccade"
"547","31031dm","Large",4.70824658141781,"combined_saccade"
"548","31031dm","Extra Large",1.53037583758101,"combined_saccade"
"549","31031ki","Small",1.04727267262618,"combined_saccade"
"550","31031ki","Medium",2.32605737453964,"combined_saccade"
"551","31031ki","Large",2.56778338770708,"combined_saccade"
"552","31031ki","Extra Large",2.24273866418571,"combined_saccade"
"553","31101ch","Small",3.33019032940082,"combined_saccade"
"554","31101ch","Medium",-1.3475757775792,"combined_saccade"
"555","31101ch","Large",0.781927331749407,"combined_saccade"
"556","31101ch","Extra Large",1.1351474991862,"combined_saccade"
"557","31103is","Small",1.41322589720873,"combined_saccade"
"558","31103is","Medium",5.61729915572917,"combined_saccade"
"559","31103is","Large",5.03620794616136,"combined_saccade"
"560","31103is","Extra Large",2.85399533332375,"combined_saccade"
"561","31103tg","Small",9.65158076952674,"combined_saccade"
"562","31103tg","Medium",0.171655424854086,"combined_saccade"
"563","31103tg","Large",1.07798033468485,"combined_saccade"
"564","31103tg","Extra Large",0.421698056080725,"combined_saccade"
"565","31106mh","Small",0.647101692572432,"combined_saccade"
"566","31106mh","Medium",-3.25729304321231,"combined_saccade"
"567","31106mh","Large",-2.94344477291593,"combined_saccade"
"568","31106mh","Extra Large",-3.08455932862222,"combined_saccade"
"569","31107sl","Small",7.97685180997819,"combined_saccade"
"570","31107sl","Medium",4.40175550978595,"combined_saccade"
"571","31107sl","Large",5.16023951996722,"combined_saccade"
"572","31107sl","Extra Large",4.95551614396137,"combined_saccade"
"573","31108be","Small",2.68533600239712,"combined_saccade"
"574","31108be","Medium",3.35091601521795,"combined_saccade"
"575","31108be","Large",1.76151394395059,"combined_saccade"
"576","31108be","Extra Large",3.73898722336939,"combined_saccade"
"577","31113kk","Small",2.41108169006723,"combined_saccade"
"578","31113kk","Medium",2.04693695277063,"combined_saccade"
"579","31113kk","Large",1.82643091813836,"combined_saccade"
"580","31113kk","Extra Large",0.536189008916075,"combined_saccade"
"581","31114kp","Small",-0.115440982730724,"combined_saccade"
"582","31114kp","Medium",1.12006112607034,"combined_saccade"
"583","31114kp","Large",-1.2911641062611,"combined_saccade"
"584","31114kp","Extra Large",-1.63650883341701,"combined_saccade"
"585","31114mc","Small",3.00760809399611,"combined_saccade"
"586","31114mc","Medium",2.74531544477221,"combined_saccade"
"587","31114mc","Large",3.15453103156242,"combined_saccade"
"588","31114mc","Extra Large",1.50236858624462,"combined_saccade"
"589","31115sr","Small",4.93965988315459,"combined_saccade"
"590","31115sr","Medium",3.14743540078037,"combined_saccade"
"591","31115sr","Large",3.04065595553178,"combined_saccade"
"592","31115sr","Extra Large",1.77559169973024,"combined_saccade"
"593","31116cm","Small",3.48195464833431,"combined_saccade"
"594","31116cm","Medium",2.47792990126585,"combined_saccade"
"595","31116cm","Large",1.81120273286612,"combined_saccade"
"596","31116cm","Extra Large",0.74488990475452,"combined_saccade"
"597","31121cd","Small",2.73920810892113,"combined_saccade"
"598","31121cd","Medium",2.53991792033797,"combined_saccade"
"599","31121cd","Large",2.36193578017247,"combined_saccade"
"600","31121cd","Extra Large",0.272529937394785,"combined_saccade"
"601","31121dc","Small",0.900595240587927,"combined_saccade"
"602","31121dc","Medium",2.74908395256461,"combined_saccade"
"603","31121dc","Large",-1.03971993832171,"combined_saccade"
"604","31121dc","Extra Large",4.06083379871695,"combined_saccade"
"605","31121mm","Small",1.13722142808754,"combined_saccade"
"606","31121mm","Medium",0.970024001031667,"combined_saccade"
"607","31121mm","Large",-0.440404712638422,"combined_saccade"
"608","31121mm","Extra Large",3.63364528443006,"combined_saccade"
"609","31122cc","Small",2.44930982759217,"combined_saccade"
"610","31122cc","Medium",2.92926951778941,"combined_saccade"
"611","31122cc","Large",1.15448934222384,"combined_saccade"
"612","31122cc","Extra Large",1.27649624076578,"combined_saccade"
"613","31122is","Small",3.72556006506201,"combined_saccade"
"614","31122is","Medium",-0.212512493364589,"combined_saccade"
"615","31122is","Large",1.30802555042605,"combined_saccade"
"616","31122is","Extra Large",1.41213602369527,"combined_saccade"
"617","31122md","Small",4.14080191794377,"combined_saccade"
"618","31122md","Medium",0.60023332899968,"combined_saccade"
"619","31122md","Large",2.03533578838596,"combined_saccade"
"620","31122md","Extra Large",0.944802829100188,"combined_saccade"
"621","31122ns","Small",3.993500322662,"combined_saccade"
"622","31122ns","Medium",4.52219021685587,"combined_saccade"
"623","31122ns","Large",0.927255404661952,"combined_saccade"
"624","31122ns","Extra Large",4.3364465205269,"combined_saccade"
"625","31127cj","Small",9.09466181050722,"combined_saccade"
"626","31127cj","Medium",6.08544080897346,"combined_saccade"
"627","31127cj","Large",4.04339160724955,"combined_saccade"
"628","31127cj","Extra Large",4.40223936869452,"combined_saccade"
"629","31127ks","Small",4.59017497646372,"combined_saccade"
"630","31127ks","Medium",2.9415963766265,"combined_saccade"
"631","31127ks","Large",3.02670475826039,"combined_saccade"
"632","31127ks","Extra Large",1.17887416983675,"combined_saccade"
"633","31127nf","Small",2.51610809537347,"combined_saccade"
"634","31127nf","Medium",0.697851387670018,"combined_saccade"
"635","31127nf","Large",1.2568013320166,"combined_saccade"
"636","31127nf","Extra Large",1.07769488779036,"combined_saccade"
"637","40216ss","Small",3.21379663519648,"combined_saccade"
"638","40216ss","Medium",1.51971309556691,"combined_saccade"
"639","40216ss","Large",1.84429330554825,"combined_saccade"
"640","40216ss","Extra Large",0.999960748040405,"combined_saccade"
