"","sid","frame_size","magnitude","task"
"137","30508ab","Small",1.047986326,"perception"
"138","30508ab","Medium",1.187311088,"perception"
"139","30508ab","Large",0.6696601215,"perception"
"140","30508ab","Extra Large",0.2505625325,"perception"
"141","30509aa","Small",3.434204712,"perception"
"142","30509aa","Medium",1.984194178,"perception"
"143","30509aa","Large",2.914571162,"perception"
"144","30509aa","Extra Large",3.0181205485,"perception"
"145","30511ki","Small",1.729832736,"perception"
"146","30511ki","Medium",1.840299293,"perception"
"147","30511ki","Large",1.771736972,"perception"
"148","30511ki","Extra Large",2.1491998965,"perception"
"149","30516dl","Small",2.1652795355,"perception"
"150","30516dl","Medium",1.3753067085,"perception"
"151","30516dl","Large",1.4728941255,"perception"
"152","30516dl","Extra Large",1.0205445175,"perception"
"153","30516gm","Small",2.98972556,"perception"
"154","30516gm","Medium",1.7404091615,"perception"
"155","30516gm","Large",1.0582064515,"perception"
"156","30516gm","Extra Large",1.2867176205,"perception"
"157","30530iw","Small",4.2093074915,"perception"
"158","30530iw","Medium",3.062846135,"perception"
"159","30530iw","Large",2.897866772,"perception"
"160","30530iw","Extra Large",2.1745941495,"perception"
"161","30530tl","Small",5.04978372,"perception"
"162","30530tl","Medium",4.6800847715,"perception"
"163","30530tl","Large",2.6768540045,"perception"
"164","30530tl","Extra Large",3.1858507665,"perception"
"165","30602kh","Small",2.1972387355,"perception"
"166","30602kh","Medium",1.400480265,"perception"
"167","30602kh","Large",2.3352892115,"perception"
"168","30602kh","Extra Large",0.6206961995,"perception"
"169","30606tw","Small",1.291324494,"perception"
"170","30606tw","Medium",1.158690652,"perception"
"171","30606tw","Large",0.7756978465,"perception"
"172","30606tw","Extra Large",0.157296275,"perception"
"173","30608at","Small",2.836204119,"perception"
"174","30608at","Medium",3.3536365765,"perception"
"175","30608at","Large",2.9049668515,"perception"
"176","30608at","Extra Large",2.3047570795,"perception"
"177","30613kb","Small",1.768396749,"perception"
"178","30613kb","Medium",1.576220051,"perception"
"179","30613kb","Large",1.9797814825,"perception"
"180","30613kb","Extra Large",1.664689997,"perception"
"181","30613th","Small",2.5809940415,"perception"
"182","30613th","Medium",1.4550933435,"perception"
"183","30613th","Large",0.8334887875,"perception"
"184","30613th","Extra Large",1.0330360225,"perception"
"185","30907tg","Small",1.835340502,"perception"
"186","30907tg","Medium",1.6294848155,"perception"
"187","30907tg","Large",0.9732404515,"perception"
"188","30907tg","Extra Large",1.4035771925,"perception"
"189","30912cg","Small",2.3109524965,"perception"
"190","30912cg","Medium",2.0465951225,"perception"
"191","30912cg","Large",2.050959353,"perception"
"192","30912cg","Extra Large",1.7881521205,"perception"
"193","30912kf","Small",2.141067483,"perception"
"194","30912kf","Medium",1.716381125,"perception"
"195","30912kf","Large",1.776715169,"perception"
"196","30912kf","Extra Large",1.758542284,"perception"
"197","30913my","Small",2.434796229,"perception"
"198","30913my","Medium",1.5969353315,"perception"
"199","30913my","Large",1.4130787375,"perception"
"200","30913my","Extra Large",1.305285044,"perception"
"201","30914ms","Small",0.361093725,"perception"
"202","30914ms","Medium",3.5365030205,"perception"
"203","30914ms","Large",1.2020311535,"perception"
"204","30914ms","Extra Large",0.8949280775,"perception"
"205","30915vb","Small",0.9123847645,"perception"
"206","30915vb","Medium",1.9349985965,"perception"
"207","30915vb","Large",2.167608025,"perception"
"208","30915vb","Extra Large",3.303085423,"perception"
"209","31006st","Small",4.7698183805,"perception"
"210","31006st","Medium",4.60350603,"perception"
"211","31006st","Large",4.449167529,"perception"
"212","31006st","Extra Large",3.127633939,"perception"
"213","31013kt","Small",0.5062653165,"perception"
"214","31013kt","Medium",0.15005784,"perception"
