sid,frame_size,perception,combined_saccade
30201cc,Small,2.2281647865,2.46076669425403
30201cc,Medium,1.724961564,0.13889370029998616
30201cc,Large,1.537479942,0.34797109198748566
30201cc,Extra Large,1.4732674475,-0.14053329820873484
30201ms,Small,2.086996633,7.358926651827139
30201ms,Medium,3.541433522,6.151998934970296
30201ms,Large,4.10594043,4.13816342385853
30201ms,Extra Large,2.735835044,3.86713443176171
30202is,Small,3.990720367,2.2268056604839304
30202is,Medium,3.1730637035,3.0250783999256807
30202is,Large,3.2189379209999998,3.5388915121027984
30202is,Extra Large,2.5772298295,1.0141176847085231
30205gr,Small,-0.2725150985,1.9445629339370654
30205gr,Medium,1.2503291095,-0.5372381051492369
30205gr,Large,1.1730693804999999,1.6601269120772755
30205gr,Extra Large,0.7470762295000001,1.546810141965756
30205jp,Small,0.6851466509999999,2.218884333159532
30205jp,Medium,1.699969223,2.267940617118881
30205jp,Large,0.9848448825000002,0.6391248692716343
30205jp,Extra Large,0.28457484099999997,0.9849063941429642
30205sb,Small,1.3958778129999998,-0.08506932799599154
30205sb,Medium,0.85829787849999994,-0.1608456928547115
30205sb,Large,0.7491734355,0.1260065511703088
30205sb,Extra Large,0.7733818305,0.7522197750066066
30208lj,Small,2.3821280204999997,9.823229380518752
30208lj,Medium,1.617990031,6.063410554700271
30208lj,Large,2.5871936965,4.587281052895774
30208lj,Extra Large,1.2983711375,2.8628700149373674
30217af,Small,2.2339938555,2.4852516190490297
30217af,Medium,0.9912682740000001,-0.004894201348143001
30217af,Large,1.029755816,2.0858506016544593
30217af,Extra Large,1.214582464,-0.1524964347920913
30301av,Small,2.356864561,2.266067720921753
30301av,Medium,2.292680349,3.0870097508168035
30301av,Large,3.3007406895,2.234091402032523
30301av,Extra Large,2.7712747149999997,1.8916624065418441
30301sb,Small,2.5163531399999997,3.5573158642157594
30301sb,Medium,3.3052045075,2.815921935370026
30301sb,Large,4.0297382365,4.137496547232367
30301sb,Extra Large,3.2970865215000003,-0.5146312782458513
30302sw,Small,3.487812557,5.961207154837422
30302sw,Medium,3.769029241,9.679802719094067
30302sw,Large,2.980139743,8.045783073225433
30302sw,Extra Large,2.281639235,6.891253287607245
30303nm,Small,1.9702484990000002,0.7721871725043103
30303nm,Medium,2.1403282910000003,0.5376936638321159
30303nm,Large,2.9333561025000003,1.1791773135518906
30303nm,Extra Large,2.61373319,-1.3850453959773055
30303vm,Small,0.9418196214999999,-3.261791353393762
30303vm,Medium,1.0394241770000001,2.9897167403701865
30303vm,Large,0.9693371265,1.1088138151976303
30303vm,Extra Large,0.9951410009999999,6.383579346058514
30308dh,Small,1.0992534305000001,1.3086502855599431
30308dh,Medium,1.016698185,1.2495336496396268
30308dh,Large,0.5110904885000003,-1.146366938198333
30308dh,Extra Large,0.6516822830000004,1.199781948580683
30310kl,Small,2.3753674555,4.204693988087794
30310kl,Medium,0.9909226605000001,2.0350582075639254
30310kl,Large,1.041883265,0.2173905417160933
30310kl,Extra Large,1.3412247650000002,0.9943966942921474
30313jp,Small,1.1100015140000001,2.6500108047829176
30313jp,Medium,1.2640082995000002,1.2720448800521313
30313jp,Large,1.4438386475000002,0.9306980820585955
30313jp,Extra Large,1.1247894120000002,1.8127345323308242
30314am,Small,1.8048204939999999,2.443102134053829
30314am,Medium,2.105106813,2.9424263676424887
30314am,Large,2.2977619044999997,3.5172217224104596
