"","sid","FRAME_SIZE_VAL","ccw","cw","frame_effect_v"
"1","v30201cc","Small",-0.527491098694153,-0.966460139182668,-0.219484520244257
"2","v30201cc","Medium",0.31985275981576,-2.06765799379468,-1.19375537680522
"3","v30201cc","Large",-1.13373716719259,-2.96593145548467,-0.916097144146043
"4","v30201cc","Extra Large",-1.64274911711554,-4.32310086027003,-1.34017587157724
"5","v30201ms","Small",-2.95199863439544,6.60076492524659,4.77638177982102
"6","v30201ms","Medium",-0.840628743281839,7.4130503249338,4.12683953410782
"7","v30201ms","Large",0.53352271337159,2.86600644925911,1.16624186794376
"8","v30201ms","Extra Large",1.9675287702556,5.82771499883332,1.93009311428886
"9","v30202is","Small",2.18514878125465,5.71363511791422,1.76424316832979
"10","v30202is","Medium",2.57208390241925,5.25732935484215,1.34262272621145
"11","v30202is","Large",0.280194469240118,6.16854027719284,2.94417290397636
"12","v30202is","Extra Large",0.696116916775189,4.47699928055689,1.89044118189085
"13","v30205gr","Small",8.35202528812335,8.28892211042537,-0.0315515888489903
"14","v30205gr","Medium",5.77442388336291,4.73106386322698,-0.521680010067968
"15","v30205gr","Large",4.21360618700276,6.19497907750474,0.990686445250989
"16","v30205gr","Extra Large",4.22192204714478,7.45676954706224,1.61742374995873
"17","v30205jp","Small",8.41384378230969,9.81393417060207,0.700045194146191
"18","v30205jp","Medium",6.1067613600068,9.2198021381277,1.55652038906045
"19","v30205jp","Large",7.74241916246221,8.63168166111324,0.444631249325514
"20","v30205jp","Extra Large",7.81706035293074,8.04347882223217,0.113209234650712
"21","v30205sb","Small",-0.121983651252307,0.643139794630297,0.382561722941302
"22","v30205sb","Medium",-0.906875741609584,0.0277567828330533,0.467316262221319
"23","v30205sb","Large",-2.51151887005153,-0.424387162897442,1.04356585357705
"24","v30205sb","Extra Large",-0.849917374383898,0.0576792034736123,0.453798288928755
"25","v30208lj","Small",-2.42710020723165,7.69495758804011,5.06102889763588
"26","v30208lj","Medium",-0.155774348216248,7.357141674338,3.75645801127712
"27","v30208lj","Large",0.307794891001504,5.76939793217835,2.73080152058842
"28","v30208lj","Extra Large",0.453877886682938,4.26547212918123,1.90579712124915
"29","v30217af","Small",-3.45091691239887,-2.67349063796052,0.388713137219179
"30","v30217af","Medium",-1.29139548798498,-2.02755587031814,-0.368080191166581
"31","v30217af","Large",-3.08032042736631,1.1425649619199,2.11144269464311
"32","v30217af","Extra Large",-0.739865028848902,0.455467531426197,0.59766628013755
"33","v30301av","Small",-6.04265484398971,-4.91023020323452,0.566212320377596
"34","v30301av","Medium",-8.80735075890549,-5.88229022348737,1.46253026770906
"35","v30301av","Large",-6.13367009803561,-2.97800181858559,1.57783413972501
"36","v30301av","Extra Large",-6.96129747900563,-4.81377023287514,1.07376362306525
"37","v30301sb","Small",-5.55352327142363,-0.0819062025548058,2.73580853443441
"38","v30301sb","Medium",-3.03516699087973,2.50117671287468,2.76817185187721
"39","v30301sb","Large",-4.844724928171,0.889035266698343,2.86688009743467
"40","v30301sb","Extra Large",-2.50115026217426,-2.240937465707,0.130106398233628
"41","v30302sw","Small",-8.52492049961026,0.329483423737252,4.42720196167376
"42","v30302sw","Medium",-11.2807063009501,4.67402893654114,7.97736761874564
"43","v30302sw","Large",-7.9426870461047,3.88282941438007,5.91275823024238
"44","v30302sw","Extra Large",-8.6513376113238,1.50926322155353,5.08030041643867
"45","v30303nm","Small",-3.77205481941369,-3.13107324339226,0.320490788010719
