"","sid","frame_size","s2r","perception"
"66","30314am","Medium",-2.39866576676236,2.105106813
"67","30314am","Large",-2.88939404325919,2.2977619045
"68","30314am","Extra Large",-1.74383626431564,1.717923672
"69","30317em","Small",-0.443262986983392,2.1878994695
"70","30317em","Medium",0.380447244580576,0.98203041
"71","30317em","Large",0.782323685547362,0.898221714
"72","30317em","Extra Large",0.0539396198825193,1.141448671
"73","30404jm","Small",-1.49139219584803,1.2157816965
"74","30404jm","Medium",2.38291738811853,1.068898093
"75","30404jm","Large",-0.312599523160094,0.8558266195
"76","30404jm","Extra Large",-0.299800168080195,0.7730827315
"77","30406db","Small",-3.58224267151642,4.183586612
"78","30406db","Medium",-3.29303580192254,4.173869899
"79","30406db","Large",-0.636887184617818,2.7440035625
"80","30406db","Extra Large",-2.17460590786237,3.034419607
"81","30410mc","Small",-4.07082110163304,1.527862658
"82","30410mc","Medium",-1.04483841643434,0.9858661825
"83","30410mc","Large",-0.162720793606062,1.2558996165
"84","30410mc","Extra Large",-1.28590816196252,0.424921441
"85","30411ao","Small",-1.55972094042474,1.641249598
"86","30411ao","Medium",-0.807029517158802,1.7003823715
"87","30411ao","Large",-1.679632540627,1.6219432625
"88","30411ao","Extra Large",-1.91189688062722,1.309609068
"89","30414sh","Small",-1.50961440062248,2.043054146
"90","30414sh","Medium",0.415645272899912,1.7349393655
"91","30414sh","Large",0.538148336043592,1.9516703475
"92","30414sh","Extra Large",-0.491813695111902,1.8984259165
"93","30417mg","Small",0.0574650303699549,2.2544204175
"94","30417mg","Medium",-0.0069515795014008,2.263566493
"95","30417mg","Large",-0.145322717803463,2.474961291
"96","30417mg","Extra Large",0.470132169597104,1.867801002
"97","30418sf","Small",-1.70125418887152,1.3413067925
"98","30418sf","Medium",-1.5501743772578,1.2073716075
"99","30418sf","Large",-2.40253794252331,1.3648437245
"100","30418sf","Extra Large",-0.893318365782171,0.94216703
"101","30420im","Small",-0.653273085538336,0.855430789
"102","30420im","Medium",-1.12649561235788,1.8507153625
"103","30420im","Large",-0.231094709720372,1.717132325
"104","30420im","Extra Large",-0.311220824685995,2.744846309
"105","30421sg","Small",-2.55373279863862,2.0338490685
"106","30421sg","Medium",-1.09705054507276,1.3897581965
"107","30421sg","Large",-1.32025132655141,1.46402564
"108","30421sg","Extra Large",-1.01193660966308,1.45836852
"109","30425mk","Small",-1.61440186169325,1.861403522
"110","30425mk","Medium",-1.67971639113342,1.734532462
"111","30425mk","Large",-0.55646765321808,2.155083335
"112","30425mk","Extra Large",-0.595928238962149,0.918022398
"113","30428jl","Small",-0.620278027841433,1.3126594235
"114","30428jl","Medium",-0.274563050011254,0.476056072
"115","30428jl","Large",-0.546673323856144,0.9318813425
"116","30428jl","Extra Large",0.553880341727016,0.5644258515
"117","30501rb","Small",-1.39266949326811,1.5032452005
"118","30501rb","Medium",-0.050627780404827,1.235728608
"119","30501rb","Large",-0.323629153261448,0.906396485
"120","30501rb","Extra Large",-0.343221887887239,1.068642495
"121","30502ah","Small",-2.53562579090014,4.6056693465
"122","30502ah","Medium",-3.12021503288129,6.679052737
"123","30502ah","Large",-2.85266132492877,4.7723041535
"124","30502ah","Extra Large",-2.73661824549574,5.799504532
"125","30502mm","Small",-1.08542586379412,1.38390477
"126","30502mm","Medium",-1.51414320486346,1.9573258285
"127","30502mm","Large",-1.19991872266401,0.9664303255
"128","30502mm","Extra Large",-1.13487247492923,1.1482922925
"129","30504lp","Small",-3.02153146494543,1.8280778945
"130","30504lp","Medium",-0.584046635599169,1.306705693
"131","30504lp","Large",-0.973265707714457,0.9762537835
"132","30504lp","Extra Large",-0.813894435944622,1.0600127865
"133","30505pp","Small",-2.03749651724863,1.6442880295
"134","30505pp","Medium",0.359064296622309,1.6676001695
"135","30505pp","Large",3.37963103499435,0.6956632065
"136","30505pp","Extra Large",1.3968468609415,0.0164321875
"137","30508ab","Small",-1.41192617881057,1.047986326
"138","30508ab","Medium",-1.3540416306414,1.187311088
"139","30508ab","Large",0.319080813066671,0.6696601215
"140","30508ab","Extra Large",-1.06810925802529,0.2505625325
"141","30509aa","Small",-4.08686126574381,3.434204712
"142","30509aa","Medium",-0.393084725540755,1.984194178
"143","30509aa","Large",-3.04878473219837,2.914571162
"144","30509aa","Extra Large",-1.94629870952953,3.0181205485
"145","30511ki","Small",-1.98927955036515,1.729832736
"146","30511ki","Medium",-1.32702224872404,1.840299293
"147","30511ki","Large",-1.08776469674111,1.771736972
"148","30511ki","Extra Large",-1.20110566098793,2.1491998965
"149","30516dl","Small",-2.16184296217634,2.1652795355
"150","30516dl","Medium",-1.8671640956506,1.3753067085
"151","30516dl","Large",-0.891095044717829,1.4728941255
"152","30516dl","Extra Large",-1.80544190962019,1.0205445175
"153","30516gm","Small",-3.09100012868625,2.98972556
"154","30516gm","Medium",-1.96021168400361,1.7404091615
"155","30516gm","Large",-1.13877153989851,1.0582064515
"156","30516gm","Extra Large",-0.552613479422672,1.2867176205
"157","30530iw","Small",-2.30024011310914,4.2093074915
"158","30530iw","Medium",-1.8114224742377,3.062846135
"159","30530iw","Large",-2.61077369377865,2.897866772
"160","30530iw","Extra Large",-0.538679337224697,2.1745941495
"161","30530tl","Small",-2.17516471669386,5.04978372
"162","30530tl","Medium",-0.21471817614234,4.6800847715
"163","30530tl","Large",1.47124516000575,2.6768540045
"164","30530tl","Extra Large",-2.65815148249042,3.1858507665
"165","30602kh","Small",-3.77477632043544,2.1972387355
"166","30602kh","Medium",-1.39830463452299,1.400480265
"167","30602kh","Large",-1.43125581998133,2.3352892115
"168","30602kh","Extra Large",-2.20808245814879,0.6206961995
"169","30606tw","Small",-0.959624931301539,1.291324494
"170","30606tw","Medium",-1.4974929025829,1.158690652
"171","30606tw","Large",-0.360339563704456,0.7756978465
"172","30606tw","Extra Large",-0.683058217955286,0.157296275
"173","30608at","Small",0.221027438322801,2.836204119
"174","30608at","Medium",-0.224462345508763,3.3536365765
"175","30608at","Large",-0.456246687827546,2.9049668515
"176","30608at","Extra Large",0.496740623044294,2.3047570795
"177","30613kb","Small",-2.0741470674916,1.768396749
"178","30613kb","Medium",-0.644390020477827,1.576220051
"179","30613kb","Large",-0.425796519140216,1.9797814825
