"","sid","frame_size","cw","ccw","frame_effect_perception","magnitude"
"58","p30310kl","Medium",4.647130025,2.665284704,0.9909226605,0.9909226605
"59","p30310kl","Large",5.278395079,3.194628549,1.041883265,1.041883265
"60","p30310kl","Extra Large",5.477217965,2.794768435,1.341224765,1.341224765
"61","p30313jp","Small",-2.031809971,-4.251812999,1.110001514,1.110001514
"62","p30313jp","Medium",-2.057222128,-4.585238727,1.2640082995,1.2640082995
"63","p30313jp","Large",-2.074947483,-4.962624778,1.4438386475,1.4438386475
"64","p30313jp","Extra Large",-2.272551277,-4.522130101,1.124789412,1.124789412
"65","p30314am","Small",1.616860297,-1.992780691,1.804820494,1.804820494
"66","p30314am","Medium",2.181771979,-2.028441647,2.105106813,2.105106813
"67","p30314am","Large",2.399025084,-2.196498725,2.2977619045,2.2977619045
"68","p30314am","Extra Large",1.690323644,-1.7455237,1.717923672,1.717923672
"69","p30317em","Small",1.497237186,-2.878561753,2.1878994695,2.1878994695
"70","p30317em","Medium",0.419640098,-1.544420722,0.98203041,0.98203041
"71","p30317em","Large",0.564818773,-1.231624655,0.898221714,0.898221714
"72","p30317em","Extra Large",0.595627347,-1.687269995,1.141448671,1.141448671
"73","p30404jm","Small",1.949707152,-0.481856241,1.2157816965,1.2157816965
"74","p30404jm","Medium",1.438395525,-0.699400661,1.068898093,1.068898093
"75","p30404jm","Large",1.286817295,-0.424835944,0.8558266195,0.8558266195
"76","p30404jm","Extra Large",0.649581032,-0.896584431,0.7730827315,0.7730827315
"77","p30406db","Small",4.674636282,-3.692536942,4.183586612,4.183586612
"78","p30406db","Medium",5.264334594,-3.083405204,4.173869899,4.173869899
"79","p30406db","Large",3.831779104,-1.656228021,2.7440035625,2.7440035625
"80","p30406db","Extra Large",4.054930412,-2.013908802,3.034419607,3.034419607
"81","p30410mc","Small",4.204209856,1.14848454,1.527862658,1.527862658
"82","p30410mc","Medium",3.999996384,2.028264019,0.9858661825,0.9858661825
"83","p30410mc","Large",4.136449073,1.62464984,1.2558996165,1.2558996165
"84","p30410mc","Extra Large",2.999563624,2.149720742,0.424921441,0.424921441
"85","p30411ao","Small",-0.129662891,-3.412162087,1.641249598,1.641249598
"86","p30411ao","Medium",0.523012147,-2.877752596,1.7003823715,1.7003823715
"87","p30411ao","Large",0.494321653,-2.749564872,1.6219432625,1.6219432625
"88","p30411ao","Extra Large",-0.083599082,-2.702817218,1.309609068,1.309609068
"89","p30414sh","Small",-1.081350736,-5.167459028,2.043054146,2.043054146
"90","p30414sh","Medium",-0.530907254,-4.000785985,1.7349393655,1.7349393655
"91","p30414sh","Large",-0.431268603,-4.334609298,1.9516703475,1.9516703475
"92","p30414sh","Extra Large",0.010609467,-3.786242366,1.8984259165,1.8984259165
"93","p30417mg","Small",0.187803248,-4.321037587,2.2544204175,2.2544204175
"94","p30417mg","Medium",-0.188458258,-4.715591244,2.263566493,2.263566493
"95","p30417mg","Large",0.261785215,-4.688137367,2.474961291,2.474961291
