"","sid","FRAME_SIZE_VAL","ccw","cw","frame_effect_r"
"1","r30201cc","Small",4.25696715630264,-1.10353527269393,2.68025121449829
"2","r30201cc","Medium",2.36056597176283,-0.304732182447586,1.33264907710521
"3","r30201cc","Large",2.47537474484532,-0.0527617274217397,1.26406823613353
"4","r30201cc","Extra Large",2.42541368728526,0.0261285405482396,1.19964257336851
"5","r30201ms","Small",4.47976506477262,-0.685324679239622,2.58254487200612
"6","r30201ms","Medium",5.05802363830542,1.00770483658047,2.02515940086248
"7","r30201ms","Large",6.73522079329077,0.791377681461234,2.97192155591477
"8","r30201ms","Extra Large",5.96527181409297,2.09118917914727,1.93704131747285
"9","r30202is","Small",8.33214296457851,7.40701798027022,0.462562492154145
"10","r30202is","Medium",9.65338097727271,6.28846962984425,1.68245567371423
"11","r30202is","Large",9.04141760723553,7.85198039098266,0.594718608126435
"12","r30202is","Extra Large",10.6019379389335,12.3545849332982,-0.876323497182326
"13","r30205gr","Small",0.264641954082938,-3.68758709148917,1.97611452278606
"14","r30205gr","Medium",-1.12290004559433,-1.09178385543179,-0.0155580950812692
"15","r30205gr","Large",0.109347505603484,-1.22953342804909,0.669440466826286
"16","r30205gr","Extra Large",-2.27936844355008,-2.13814122756413,-0.0706136079929747
"17","r30205jp","Small",2.54551415949854,-0.492164118528137,1.51883913901334
"18","r30205jp","Medium",0.896688475951175,-0.526151980165688,0.711420228058431
"19","r30205jp","Large",0.649070287771515,0.260083047879274,0.19449361994612
"20","r30205jp","Extra Large",1.50367125819135,-0.239723060793156,0.871697159492253
"21","r30205sb","Small",-3.86290914286995,-2.92764704099537,-0.467631050937293
"22","r30205sb","Medium",-4.547153723,-3.29082981284794,-0.62816195507603
"23","r30205sb","Large",-4.92781979935838,-3.09270119454491,-0.917559302406737
"24","r30205sb","Extra Large",-4.26380491805174,-4.86064789020744,0.298421486077852
"25","r30208lj","Small",3.26757703251284,-6.2568239332529,4.76220048288287
"26","r30208lj","Medium",2.32901510449718,-2.28488998234912,2.30695254342315
"27","r30208lj","Large",2.25678657995668,-1.45617248465802,1.85647953230735
"28","r30208lj","Extra Large",0.0639293694825965,-1.85021641789384,0.95707289368822
"29","r30217af","Small",-1.35800347266728,-5.55108043632698,2.09653848182985
"30","r30217af","Medium",-2.89266114361835,-3.61903312325523,0.363185989818438
"31","r30217af","Large",-3.39424600028786,-3.34306181431057,-0.0255920929886482
"32","r30217af","Extra Large",-2.70648817321481,-1.20616274335553,-0.750162714929641
"33","r30301av","Small",-2.03683249235683,-5.43654329344515,1.69985540054416
"34","r30301av","Medium",-2.41942811637834,-5.66838708259382,1.62447948310774
