"","sid","frame_size","s2v","perception"
"73","30404jm","Small",2.39273666773085,1.2157816965
"74","30404jm","Medium",8.34302004693674,1.068898093
"75","30404jm","Large",1.61840750446792,0.8558266195
"76","30404jm","Extra Large",2.3818325714572,0.7730827315
"77","30406db","Small",1.37637543751812,4.183586612
"78","30406db","Medium",3.55800111851335,4.173869899
"79","30406db","Large",3.28967923631832,2.7440035625
"80","30406db","Extra Large",2.12209492520053,3.034419607
"81","30410mc","Small",0.62667422258099,1.527862658
"82","30410mc","Medium",1.25324844498134,0.9858661825
"83","30410mc","Large",0.242310219595605,1.2558996165
"84","30410mc","Extra Large",0.234666672445839,0.424921441
"85","30411ao","Small",0.683450325493591,1.641249598
"86","30411ao","Medium",0.638782560923326,1.7003823715
"87","30411ao","Large",0.587663760692621,1.6219432625
"88","30411ao","Extra Large",-0.309404637601978,1.309609068
"89","30414sh","Small",4.36282254287886,2.043054146
"90","30414sh","Medium",-0.156295804308741,1.7349393655
"91","30414sh","Large",2.42484559205751,1.9516703475
"92","30414sh","Extra Large",-0.220029661148875,1.8984259165
"93","30417mg","Small",1.61288545867871,2.2544204175
"94","30417mg","Medium",0.67526686012408,2.263566493
"95","30417mg","Large",0.502141127301751,2.474961291
"96","30417mg","Extra Large",0.947628291729983,1.867801002
"97","30418sf","Small",0.173694329806525,1.3413067925
"98","30418sf","Medium",0.182447655512405,1.2073716075
"99","30418sf","Large",0.342146011946664,1.3648437245
"100","30418sf","Extra Large",0.739330707832414,0.94216703
"101","30420im","Small",-0.112696831785522,0.855430789
"102","30420im","Medium",-0.254300864249565,1.8507153625
"103","30420im","Large",-0.293691398359897,1.717132325
"104","30420im","Extra Large",1.47803580461655,2.744846309
"105","30421sg","Small",-0.785429431425012,2.0338490685
"106","30421sg","Medium",1.68220222624356,1.3897581965
"107","30421sg","Large",1.44388646676681,1.46402564
"108","30421sg","Extra Large",0.577207939066117,1.45836852
"109","30425mk","Small",2.37114987014263,1.861403522
"110","30425mk","Medium",1.12295212275362,1.734532462
"111","30425mk","Large",0.529378505990834,2.155083335
"112","30425mk","Extra Large",0.403298861470239,0.918022398
"113","30428jl","Small",1.21828699163249,1.3126594235
"114","30428jl","Medium",-0.28117347816128,0.476056072
"115","30428jl","Large",-0.912691468788635,0.9318813425
"116","30428jl","Extra Large",-2.10261159070779,0.5644258515
"117","30501rb","Small",0.544213454178525,1.5032452005
"118","30501rb","Medium",0.820775498893447,1.235728608
"119","30501rb","Large",0.505566993171139,0.906396485
"120","30501rb","Extra Large",0.620420399119404,1.068642495
"121","30502ah","Small",3.51885471710079,4.6056693465
"122","30502ah","Medium",6.86036655056126,6.679052737
"123","30502ah","Large",5.26706515925914,4.7723041535
"124","30502ah","Extra Large",8.96926363884777,5.799504532
"125","30502mm","Small",2.56106896604658,1.38390477
"126","30502mm","Medium",-0.542766352996374,1.9573258285
"127","30502mm","Large",-1.03981315481083,0.9664303255
"128","30502mm","Extra Large",-1.27201031680682,1.1482922925
"129","30504lp","Small",1.39766331008352,1.8280778945
"130","30504lp","Medium",1.85487332455128,1.306705693
"131","30504lp","Large",1.07479950027493,0.9762537835
"132","30504lp","Extra Large",1.12740761558172,1.0600127865
"133","30505pp","Small",1.21269974670423,1.6442880295
"134","30505pp","Medium",3.51280526510968,1.6676001695
"135","30505pp","Large",1.07429070276426,0.6956632065
"136","30505pp","Extra Large",0.669066863782152,0.0164321875
"137","30508ab","Small",-0.422343852709519,1.047986326
"138","30508ab","Medium",0.164137430377515,1.187311088
"139","30508ab","Large",0.228396026153696,0.6696601215
"140","30508ab","Extra Large",-0.576712829075595,0.2505625325
"141","30509aa","Small",1.6558163132972,3.434204712
"142","30509aa","Medium",1.14220176519762,1.984194178
"143","30509aa","Large",0.903113998716898,2.914571162
"144","30509aa","Extra Large",1.16941724575695,3.0181205485
"145","30511ki","Small",2.00008753609652,1.729832736
"146","30511ki","Medium",0.492499056551465,1.840299293
"147","30511ki","Large",0.880601722107207,1.771736972
"148","30511ki","Extra Large",0.947674768971147,2.1491998965
"149","30516dl","Small",1.88822365075365,2.1652795355
"150","30516dl","Medium",0.171853694599075,1.3753067085
"151","30516dl","Large",1.05356686131782,1.4728941255
"152","30516dl","Extra Large",-0.453251508391831,1.0205445175
"153","30516gm","Small",0.565389857509689,2.98972556
"154","30516gm","Medium",0.716478649911263,1.7404091615
"155","30516gm","Large",1.02175202424183,1.0582064515
"156","30516gm","Extra Large",-0.050940957302049,1.2867176205
"157","30530iw","Small",4.53006335186796,4.2093074915
"158","30530iw","Medium",3.3219958550617,3.062846135
"159","30530iw","Large",5.29248773303692,2.897866772
"160","30530iw","Extra Large",2.31645461471252,2.1745941495
"161","30530tl","Small",-1.34824655155361,5.04978372
"162","30530tl","Medium",1.18344650140508,4.6800847715
"163","30530tl","Large",1.76597979759842,2.6768540045
"164","30530tl","Extra Large",2.27322345578836,3.1858507665
"165","30602kh","Small",0.89161045256534,2.1972387355
"166","30602kh","Medium",1.11357672670106,1.400480265
"167","30602kh","Large",1.5338786851133,2.3352892115
"168","30602kh","Extra Large",0.901909129879416,0.6206961995
"169","30606tw","Small",2.06091133671526,1.291324494
"170","30606tw","Medium",-1.84482746952367,1.158690652
"171","30606tw","Large",0.119810947437144,0.7756978465
"172","30606tw","Extra Large",0.198401967222318,0.157296275
"173","30608at","Small",1.92727286996741,2.836204119
"174","30608at","Medium",2.39407781887396,3.3536365765
"175","30608at","Large",1.37535771132481,2.9049668515
"176","30608at","Extra Large",2.78292944463882,2.3047570795
"177","30613kb","Small",0.745541717566259,1.768396749
"178","30613kb","Medium",1.27844048136809,1.576220051
"179","30613kb","Large",1.70957795473022,1.9797814825
"180","30613kb","Extra Large",-0.0526752281786642,1.664689997
"181","30613th","Small",0.696510223284283,2.5809940415
"182","30613th","Medium",1.11902785703978,1.4550933435
"183","30613th","Large",1.38135477534874,0.8334887875
"184","30613th","Extra Large",1.03961414176054,1.0330360225
"185","30907tg","Small",-0.652016148481813,1.835340502
"186","30907tg","Medium",0.577615210671831,1.6294848155
"187","30907tg","Large",-0.666849765632311,0.9732404515
"188","30907tg","Extra Large",2.14956076663104,1.4035771925
"189","30912cg","Small",1.43843960819275,2.3109524965
"190","30912cg","Medium",2.28951950865597,2.0465951225
"191","30912cg","Large",2.2969431334233,2.050959353
"192","30912cg","Extra Large",3.2240793547075,1.7881521205
"193","30912kf","Small",1.96713678112821,2.141067483
"194","30912kf","Medium",0.369054081161338,1.716381125
"195","30912kf","Large",-0.561781413332328,1.776715169
"196","30912kf","Extra Large",0.703943033850824,1.758542284
"197","30913my","Small",0.649730277881397,2.434796229
"198","30913my","Medium",0.312569300331424,1.5969353315
"199","30913my","Large",1.27787259244894,1.4130787375
"200","30913my","Extra Large",0.227809528663935,1.305285044
"201","30914ms","Small",1.87859796778911,0.361093725
"202","30914ms","Medium",0.764186965575721,3.5365030205
"203","30914ms","Large",2.12731776300388,1.2020311535
"204","30914ms","Extra Large",1.35187352563985,0.8949280775
"205","30915vb","Small",0.731442936883733,0.9123847645
"206","30915vb","Medium",-0.220202723450647,1.9349985965
"207","30915vb","Large",0.236018010185109,2.167608025
"208","30915vb","Extra Large",0.163716433856811,3.303085423
"209","31006st","Small",-2.76859100124723,4.7698183805
"210","31006st","Medium",-0.819094890117559,4.60350603
"211","31006st","Large",-1.63170280678925,4.449167529
"212","31006st","Extra Large",-0.381370149787811,3.127633939
"213","31013kt","Small",1.15593636527113,0.5062653165
"214","31013kt","Medium",0.183621662295625,0.15005784
"215","31013kt","Large",-0.106825064450425,0.280405991
"216","31013kt","Extra Large",-0.540639602826928,0.2088504025
"217","31016cm","Small",0.581914526968646,2.090791752
"218","31016cm","Medium",0.777089490804687,2.2113218165
"219","31016cm","Large",0.991635816886819,0.7613766155
"220","31016cm","Extra Large",0.0323085119922704,1.634720335
"221","31020md","Small",0.479666462716386,2.5991781135
"222","31020md","Medium",0.300777167129798,2.020856689
"223","31020md","Large",1.99493126267895,2.0344190415
"224","31020md","Extra Large",0.331897806215153,2.201218744
"225","31031dm","Small",0.315931199683385,1.681953677
"226","31031dm","Medium",0.416912250896388,1.4970250455
"227","31031dm","Large",1.75865179940382,1.6678206035
"228","31031dm","Extra Large",0.294182288586842,2.148685396
"229","31031ki","Small",0.0719007816101782,2.215665669
"230","31031ki","Medium",0.904598282377944,1.732892799
"231","31031ki","Large",1.04494865569169,1.2221755195
"232","31031ki","Extra Large",1.21995568500473,1.391331528
"233","31101ch","Small",1.56834940871959,1.351559024
"234","31101ch","Medium",0.155172518088843,1.043337548
"235","31101ch","Large",0.554590405540117,1.0082547055
"236","31101ch","Extra Large",0.979774094945571,0.5887266645
"237","31103is","Small",1.86669849220083,3.3965533775
"238","31103is","Medium",2.82241985319578,2.9940716985
"239","31103is","Large",1.02667842341755,2.598779572
"240","31103is","Extra Large",2.58523555977842,2.992458734
"241","31103tg","Small",8.74393920345716,0.7942417195
"242","31103tg","Medium",0.482044563628592,0.194393006
"243","31103tg","Large",1.4437916795704,0.5442746725
"244","31103tg","Extra Large",0.076450658695289,0.929631147
"245","31106mh","Small",-0.787091369657877,1.2486508075
"246","31106mh","Medium",-0.864733184720022,0.7446350125
"247","31106mh","Large",-0.329775666990458,0.3859570315
"248","31106mh","Extra Large",-0.510190992399023,0.6662685535
"249","31107sl","Small",3.7730218240424,2.5434344455
"250","31107sl","Medium",1.62742525565725,2.30468616
"251","31107sl","Large",3.0900641134525,2.881412197
"252","31107sl","Extra Large",3.43014891399401,2.920550926
"253","31108be","Small",1.35396269157896,1.6712586505
"254","31108be","Medium",2.28433669405602,2.169106559
"255","31108be","Large",1.42938664100677,0.862440873
"256","31108be","Extra Large",2.47681994436437,0.7834748285
"257","31113kk","Small",1.42495513251972,2.6857620425
"258","31113kk","Medium",1.4807770501642,2.892856022
"259","31113kk","Large",1.15810119571981,2.731377859
"260","31113kk","Extra Large",0.811058410157321,2.138724332
"261","31114kp","Small",-0.0576329430117413,-0.0827382059999999
"262","31114kp","Medium",0.868800115543338,0.198589904
"263","31114kp","Large",-0.976662222759367,0.228132703
"264","31114kp","Extra Large",-1.21773869373303,-0.502632051
"265","31114mc","Small",1.62776248277009,4.1500895125
"266","31114mc","Medium",2.99731636871762,2.783176437
"267","31114mc","Large",2.11199815516405,1.468823251
"268","31114mc","Extra Large",1.54504190864385,1.7147925865
"269","31115sr","Small",1.39475373457895,3.235660777
"270","31115sr","Medium",1.49484657213788,1.78148901
"271","31115sr","Large",0.997968146019035,2.448515694
"272","31115sr","Extra Large",0.633495283168647,1.4185363245
"273","31116cm","Small",2.43434009813918,0.670102859
"274","31116cm","Medium",1.29242611777545,0.785485265
"275","31116cm","Large",0.846430732982057,0.7096907815
"276","31116cm","Extra Large",0.412925654987618,0.6547238815
"277","31121cd","Small",2.20794089680634,1.8253836965
"278","31121cd","Medium",1.75726820901012,1.436887725
"279","31121cd","Large",1.83295198159374,1.933998997
"280","31121cd","Extra Large",-0.0352607272285628,1.6615011095
"281","31121dc","Small",2.35813396233418,2.698095241
"282","31121dc","Medium",1.25081425349863,2.033954637
"283","31121dc","Large",2.98291187647356,1.260152442
"284","31121dc","Extra Large",2.12340029613151,1.553769155
"285","31121mm","Small",-0.109536270903211,6.351867655
"286","31121mm","Medium",-0.0840885400325104,4.1420382485
"287","31121mm","Large",-0.964648011193564,3.607918343
"288","31121mm","Extra Large",2.61100830505592,2.53952529
"289","31122cc","Small",0.137182552669845,1.4368465
"290","31122cc","Medium",1.45518780850757,1.056108906
"291","31122cc","Large",1.50529286815907,-0.0624766395
"292","31122cc","Extra Large",1.32633499339976,1.217287333
"293","31122is","Small",1.16364740702178,2.617811909
"294","31122is","Medium",-0.693296553186838,1.8453370335
"295","31122is","Large",0.30586160569384,1.4130229785
"296","31122is","Extra Large",0.531296652221176,1.8647368335
"297","31122md","Small",1.7643062224775,2.1198763145
"298","31122md","Medium",-0.332822722392266,1.165295115
"299","31122md","Large",0.00548336200111704,0.6701323825
"300","31122md","Extra Large",-0.246456216040969,1.176702772
"301","31122ns","Small",3.11513346463694,1.6214902725
"302","31122ns","Medium",1.11065874740661,1.171736787
"303","31122ns","Large",0.480570166140572,1.473990597
"304","31122ns","Extra Large",1.0249191550671,1.292332046
"305","31127cj","Small",2.62742580508424,1.7969520685
"306","31127cj","Medium",1.70639584553195,1.365328772
"307","31127cj","Large",1.52736382285032,1.5490217455
"308","31127cj","Extra Large",2.35041028216797,1.228094155
"309","31127ks","Small",3.54453326786287,2.12899238
"310","31127ks","Medium",1.7743689076651,3.2153396565
"311","31127ks","Large",2.16942608128864,1.345523111
"312","31127ks","Extra Large",0.979630157739675,1.4823340415
"313","31127nf","Small",0.968583413038772,1.86867483
"314","31127nf","Medium",-0.12209909191915,0.890161474
"315","31127nf","Large",0.390100216259887,1.3743569075
"316","31127nf","Extra Large",0.198495368444332,0.9186189165
"317","40216ss","Small",1.97354868896831,1.686081354
"318","40216ss","Medium",2.09189495720733,1.7362575355
"319","40216ss","Large",2.01031045848099,1.243742016
"320","40216ss","Extra Large",0.862470767585927,0.485297274
